date,open,high,low,close,volume,pe,pb,sentiment,ma5,ma20,macd_dif,macd_dea,macd_hist,rsi14,golden_cross,death_cross,entry_signal,exit_signal,position,turnover,fee,strategy_ret,benchmark_ret,strategy_nav,benchmark_nav,period
2020-01-02,15.43,15.68,15.37,15.58,15934570.0,46.36,2.5,0.5,,,0.0,0.0,0.0,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,训练集
2020-01-03,15.59,15.85,15.42,15.54,12993607.0,46.36,2.5,0.5,,,-0.0031908831908822,-0.0006381766381764,-0.0051054131054115,0.0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0025673940949936247,1.0,0.9974326059050064,训练集
2020-01-06,15.33,15.91,15.27,15.62,16987138.0,46.36,2.5,0.5,,,0.000727266824132,-0.0003650879457147,0.0021847095396935,13.333333333333073,0,0,0,0,0.0,0.0,0.0,0.0,0.005148005148005064,1.0,1.0025673940949935,训练集
2020-01-07,15.63,15.69,15.45,15.54,9340058.0,46.36,2.5,0.5,,,-0.0025930118458603,-0.0008106727257438,-0.0035646782402329,11.659192825111916,0,0,0,0,0.0,0.0,0.0,-0.0,-0.005121638924455829,1.0,0.9974326059050064,训练集
2020-01-08,15.38,15.64,15.25,15.29,11097445.0,46.36,2.5,0.5,15.514,,-0.0251078397286654,-0.0056701061263281,-0.0388754672046745,8.195926285159942,0,0,0,0,0.0,0.0,0.0,-0.0,-0.01608751608751613,1.0,0.9813863928112965,训练集
2020-01-09,15.45,15.59,15.33,15.41,8921700.0,46.36,2.5,0.5,15.48,,-0.0328888833436415,-0.0111138615697908,-0.0435500435477014,20.415885130327798,0,0,0,0,0.0,0.0,0.0,0.0,0.007848266841072649,1.0,0.9890885750962772,训练集
2020-01-10,15.42,15.42,15.08,15.18,10929463.0,46.36,2.5,0.5,15.407999999999998,,-0.0569579188443363,-0.0202826730246999,-0.0733504916392727,16.015588409779184,0,0,0,0,0.0,0.0,0.0,-0.0,-0.014925373134328401,1.0,0.9743260590500641,训练集
2020-01-13,16.69,16.69,16.34,16.69,51882759.0,46.36,2.5,0.5,15.622,,0.0452895082573334,-0.0071682367682932,0.1049154900512535,66.72393767600897,0,0,0,0,0.0,0.0,0.0,0.0,0.09947299077733862,1.0,1.071245186136072,训练集
2020-01-14,17.79,18.11,17.14,17.29,61497596.0,46.36,2.5,0.5,15.972,,0.1727450194252267,0.0288144144704107,0.2878612099096319,73.55618883304878,0,0,0,0,0.0,0.0,0.0,0.0,0.035949670461354,1.0,1.1097560975609755,训练集
2020-01-15,17.47,17.71,16.91,17.24,29870523.0,51.44,2.77,0.5,16.362000000000002,,0.2666461176972188,0.0763807551157723,0.3805307251628929,72.2253514400234,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0028918449971081506,1.0,1.1065468549422335,训练集
2020-01-16,17.3,17.64,16.75,17.5,33573707.0,51.44,2.77,0.5,16.78,,0.3579173927798642,0.1326880826485907,0.450458620262547,74.78057542843526,0,0,0,0,0.0,0.0,0.0,0.0,0.015081206496519783,1.0,1.1232349165596918,训练集
2020-01-17,17.42,19.25,17.21,18.75,53060038.0,51.44,2.77,0.5,17.494,,0.5250624955622243,0.2111629652313174,0.6277990606618137,82.917409783411,0,0,0,1,0.0,0.0,0.0,0.0,0.0714285714285714,1.0,1.2034659820282412,训练集
2020-01-20,18.54,19.38,18.28,19.01,30077562.0,51.44,2.77,0.5,17.958,,0.6707737584764715,0.3030851238803482,0.7353772691922464,84.0687858452772,0,0,0,1,0.0,0.0,0.0,0.0,0.013866666666666694,1.0,1.2201540436456995,训练集
2020-01-21,18.67,18.67,18.29,18.35,20383657.0,51.44,2.77,0.5,18.17,,0.7246412863041378,0.3873963563651061,0.6744898598780633,70.98876681980494,0,0,0,0,0.0,0.0,0.0,-0.0,-0.03471856917411886,1.0,1.1777920410783054,训练集
2020-01-22,18.28,19.57,18.15,19.17,32797995.0,51.44,2.77,0.5,18.556000000000004,,0.8240002749291868,0.4747171400779223,0.698566269702529,75.98755356690978,0,0,0,1,0.0,0.0,0.0,0.0,0.04468664850136239,1.0,1.2304236200256737,训练集
2020-01-23,18.76,20.02,18.6,19.35,29158496.0,57.73,3.11,0.5,18.926,,0.9068142942231248,0.5611365709069629,0.6913554466323237,76.9273613150801,0,0,0,1,0.0,0.0,0.0,0.0,0.009389671361502261,1.0,1.2419768934531448,训练集
2020-01-24,18.76,20.02,18.6,19.35,0.0,57.73,3.11,0.5,19.046,,0.9613630068411894,0.6411818580938082,0.6403622974947623,76.9273613150801,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.2419768934531448,训练集
2020-01-27,18.76,20.02,18.6,19.35,0.0,57.73,3.11,0.5,19.114,,0.993144898415558,0.7115744661581582,0.5631408645147995,76.9273613150801,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.2419768934531448,训练集
2020-01-28,18.76,20.02,18.6,19.35,0.0,57.73,3.11,0.5,19.314,,1.0067273502368934,0.7706050429739053,0.4722446145259762,76.9273613150801,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.2419768934531448,训练集
