新闻标题,发布时间,新闻链接
阿里巴巴、华为、比亚迪、美团等巨头密集布局迪拜,2026-06-25 12:02,https://t.cj.sina.cn/articles/view/1651428902/626ece2602001ggzq
钠电池的“独角戏”：宁德时代独自狂奔,2026-06-25 12:02,https://auto.sina.com.cn/news/hy/2026-06-25/detail-inieqwsu1008232.shtml
新能源车的困倦时代：看不到战争结束，就先迎来乏味,2026-06-25 12:02,https://t.cj.sina.cn/articles/view/7294209083/1b2c4cc3b00101srk4
纯电轿车测评 ：吉利星愿、海豚、缤果 Pro、MG4、秦 PLUS,2026-06-25 12:02,https://finance.sina.com.cn/roll/2026-06-25/doc-inieqwsu1047785.shtml
比亚迪官宣海豹08车型7月2日上市,2026-06-25 12:02,https://t.cj.sina.cn/articles/view/1826017320/6cd6d02802001mac2
比亚迪储能推出户储新品Battery-Box Mega,2026-06-25 12:02,https://cj.sina.cn/articles/view/5182171545/134e1a99902002g4lo
比亚迪：6月24日获融资买入3.60亿元，融资余额135.36亿元占流通市值比例2.99%，低于近一年40%分位水平,2026-06-25 12:02,https://finance.sina.com.cn/stock/aiassist/lr/2026-06-25/doc-inieqskx7779810.shtml
湘滨电子创业板IPO获受理：年入13亿，比亚迪是最大客户、小米持股5%,2026-06-25 12:02,https://cj.sina.cn/articles/view/2587691232/9a3d08e002001qir0
比亚迪方程豹：钛7 EV闪充版目标7月进入稳态交付,2026-06-25 12:02,https://t.cj.sina.cn/articles/view/1826017320/6cd6d02802001m9ie
正面硬刚特斯拉Optimus，比亚迪二号人物公布“造人”计划,2026-06-25 12:02,https://finance.sina.com.cn/roll/2026-06-25/doc-inieqnce5843061.shtml
比亚迪新注册《比亚迪ACC01国标交流充电桩标准版充电控制嵌入式软件V1.0》等2个项目的软件著作权,2026-06-25 12:02,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002c0t8
不同品牌的城市NOA在订阅费用和技术路线上有什么主要区别？,2026-06-25 12:02,https://k.sina.cn/article_7880068201_1d5b04c690680234q8.html
智驾竞争进入下半场：车企为何突然争着“背锅”？,2026-06-25 12:02,https://finance.sina.com.cn/stock/relnews/hk/2026-06-24/doc-iniepqxq6105408.shtml
Intersolar 2026：10大储能趋势观察,2026-06-25 12:02,https://finance.sina.com.cn/wm/2026-06-24/doc-iniepqxs2858299.shtml
刚刚，华为宣布：智驾全面兜底,2026-06-25 12:02,https://finance.sina.com.cn/wm/2026-06-24/doc-iniepkru2939828.shtml
每经热评｜“多生孩子未必好打架” 中国汽车品牌要主动“做减法”,2026-06-25 12:02,https://finance.sina.com.cn/jjxw/2026-06-24/doc-iniepkrn1395495.shtml
李柯：希望能在每个比亚迪展厅里都部署“机器销售”,2026-06-25 12:02,https://t.cj.sina.cn/articles/view/1826017320/6cd6d02802001m76g
欧盟电动车销量大幅上涨，中国车企增速亮眼,2026-06-25 12:02,https://finance.sina.com.cn/roll/2026-06-24/doc-iniepeiw2971873.shtml
比亚迪集团副总裁李巍感慨：没有深圳 就没有今天的比亚迪 这种“双向奔赴”的助力 让比亚迪走向国际 走得更远,2026-06-25 12:02,https://finance.sina.com.cn/jjxw/2026-06-24/doc-iniepeiw2972768.shtml
智驾下半场暗战：华为比亚迪“兜底”，理想小鹏“抠门”,2026-06-25 12:02,https://t.cj.sina.cn/articles/view/1667925927/636a87a70010187kc
比亚迪荣膺可持续发展国际大奖，闪充技术赋能马可波罗新丝路,2026-06-25 12:02,https://finance.sina.com.cn/wm/2026-06-24/doc-iniepqxs2897247.shtml
5月数据资讯 | 同环比下滑，5月销量3.27万辆，新能源渗透率达71%,2026-06-25 12:02,https://finance.sina.com.cn/roll/2026-06-24/doc-inienxzw6292473.shtml
腾势N8L闪充版交付，李慧：提前储备电池保交付,2026-06-25 12:02,https://finance.sina.com.cn/jjxw/2026-06-24/doc-inienxzw6288635.shtml
光储充一体化解决方案哪家好？四大厂商底层逻辑与战略基因深度剖析,2026-06-25 12:02,https://finance.sina.com.cn/jjxw/2026-06-24/doc-inienxzy3044032.shtml
为何越来越多车厂要自研芯片？,2026-06-25 12:02,https://t.cj.sina.cn/articles/view/5484361783/146e4b837001019ufm
腾讯在《财富》500强的最新排名是多少？与新能源企业相比如何？,2026-06-25 12:02,https://k.sina.cn/article_7879922982_1d5ae15260680atm74.html
比亚迪大唐EV留存7万有效订单，现在下单提车要等三个月,2026-06-25 12:02,https://finance.sina.com.cn/stock/relnews/cn/2026-06-24/doc-inientty6298607.shtml
大行评级丨高盛：汽车行业整合短期内难实现，予比亚迪、零跑汽车以及小鹏“买入”评级,2026-06-25 12:02,https://finance.sina.com.cn/stock/bxjj/2026-06-24/doc-inienttv8293558.shtml
大行评级丨里昂：端午节期间汽车订单反弹，予比亚迪、吉利汽车“高确信跑赢大市”评级,2026-06-25 12:02,https://cj.sina.cn/articles/view/5115326071/130e5ae7702002wtg0
掉队十年后押注固态与钠电， 国轩高科的“技术叙事”为何撬不动二级,2026-06-25 12:02,https://cj.sina.cn/articles/view/2853016445/aa0d937d001015ilq
比亚迪与无锡深化对接合作 布局智能网联与机器人增量项目,2026-06-25 12:02,https://finance.sina.com.cn/stock/estate/integration/2026-06-24/doc-inienpna6327882.shtml
比亚迪来无锡深化对接合作,2026-06-25 12:02,https://finance.sina.com.cn/jjxw/2026-06-24/doc-inienpne3080173.shtml
汽车人工智能芯片面临“重复投资”风险,2026-06-25 12:02,https://finance.sina.com.cn/wm/2026-06-24/doc-inienpmx8291720.shtml
比亚迪腾势N8L闪充版车型上市，新能源车ETF平安(515700)交投活跃,2026-06-25 12:02,https://cj.sina.cn/articles/view/6192937794/17120bb4202002qw1o
从“比马力”到“拼算力” 中国汽车驶入AI竞速时代,2026-06-25 12:02,https://finance.sina.com.cn/jjxw/2026-06-24/doc-inienawh6370204.shtml
比亚迪来锡深化对接合作,2026-06-25 12:02,https://finance.sina.com.cn/roll/2026-06-24/doc-inienawc8368147.shtml
腾势N8L闪充版上市，售价区间为31.98万元至34.98万元，比预售价大幅下探！李慧：比亚迪电池在内部优先供应腾势,2026-06-25 12:02,https://finance.sina.com.cn/jjxw/2026-06-24/doc-iniemmyk1823859.shtml
方程豹调整钛3及钛7闪充权益：到店后在通知时间内提车即可享受,2026-06-25 12:02,https://t.cj.sina.cn/articles/view/1826017320/6cd6d02802001m05y
车企不“造人”，就出局？,2026-06-25 12:02,https://k.sina.cn/article_5953466483_162dab07301901rftq.html
比预售价大幅下探！腾势N8L闪充版上市  李慧：比亚迪电池在内部优先供应腾势,2026-06-25 12:02,https://finance.sina.com.cn/roll/2026-06-23/doc-iniemfsi9577255.shtml
Q1全球储能出货126.4GWh：户储暴增392%，中国龙头领跑,2026-06-23 21:33,https://t.cj.sina.cn/articles/view/1913957822/7214adbe02701hntu
客车江湖，变天了（下篇）,2026-06-23 21:33,https://cj.sina.cn/articles/view/3684007222/db957d3600101q4qu
“多生孩子未必好打架”，中国汽车品牌要主动“做减法”,2026-06-23 21:33,https://finance.sina.com.cn/wm/2026-06-23/doc-iniekzkp6428404.shtml
车市价格战基本平息  单车价格成车企新看点,2026-06-23 21:33,https://finance.sina.com.cn/jjxw/2026-06-23/doc-iniekzkp6426351.shtml
强强联手布局补能基建！比亚迪携手中石化共建闪充网络，液冷储能赋能场站安全运营,2026-06-23 21:33,https://finance.sina.com.cn/stock/relnews/hk/2026-06-23/doc-iniekzkr8737393.shtml
比亚迪：公司小动力电池可应用于各种领域,2026-06-23 21:33,https://cj.sina.cn/articles/view/2311077472/89c03e6002002l1xa
小米跌幅63%，比亚迪缩水5000亿！电车暴涨、市值崩塌，中国车企冰火两重天,2026-06-23 21:33,https://finance.sina.com.cn/roll/2026-06-23/doc-iniekvar6501356.shtml
23.99万起的比亚迪大唐彻底卖爆：第三方统计大定或超6万台,2026-06-23 21:33,https://finance.sina.com.cn/stock/t/2026-06-23/doc-iniekqur9730847.shtml
20 万内低油耗插混 SUV 横评：两款热门车型实测解析,2026-06-23 21:33,https://finance.sina.com.cn/roll/2026-06-23/doc-iniekqur9756271.shtml
夏天开空调也不太费油的混动轿车选哪款？三款热门车型横评,2026-06-23 21:33,https://finance.sina.com.cn/roll/2026-06-23/doc-iniekquu2075163.shtml
油价飙升反加速电动化浪潮！欧洲汽车销量连续四月增长,2026-06-23 21:33,https://cj.sina.cn/articles/view/5835524730/15bd30a7a020026n3e
华为跟进比亚迪宣布智驾兜底，7月起调价至3.6万元,2026-06-23 21:33,https://cj.sina.cn/articles/view/1642088277/61e047550400229zk
公司有在磷酸铁锂电池方面扩大产量的计划吗？比亚迪回应,2026-06-23 21:33,https://finance.sina.com.cn/jjxw/2026-06-23/doc-iniekknt9750620.shtml
比亚迪：交付深圳的百辆T31纯电动自卸车有何优势？,2026-06-23 21:33,https://finance.sina.com.cn/roll/2026-06-23/doc-iniekknt9740530.shtml
比亚迪之后华为智驾也推“兜底”服务，ADS Max价格同步上涨,2026-06-23 21:33,https://cj.sina.cn/articles/view/5105460195/1304f23e300101rdjq
传比亚迪计划让子品牌自负盈亏 哪个品牌才是最赚钱的？,2026-06-23 21:33,https://finance.sina.com.cn/jjxw/2026-06-23/doc-iniekknt9726895.shtml
宇通/比亚迪拿下过半市场、中通/远程空降榜单！5月新能源客车出口格局洗牌,2026-06-23 21:33,https://finance.sina.com.cn/stock/relnews/cn/2026-06-23/doc-iniekeev9828922.shtml
华为跟进比亚迪 为智能辅助驾驶兜底,2026-06-23 21:33,https://t.cj.sina.cn/articles/view/1296119181/4d41358d001035qsi
2026年1-5月前十位SUV生产企业销售情况简析,2026-06-23 21:33,https://finance.sina.com.cn/stock/relnews/hk/2026-06-23/doc-iniekeev9793235.shtml
年薪比王传福还高，比亚迪背后的女人，有多厉害？,2026-06-23 21:33,https://cj.sina.cn/articles/view/6173010488/16ff0aa3802001kete
为什么半个汽车圈的造车企业都跑去“造人”了？,2026-06-23 21:33,https://t.cj.sina.cn/articles/view/6334665644/1799353ac00101ket4
6月以来153股获机构首次关注！8只机构评级股获融资净买入超10亿元,2026-06-23 21:33,https://finance.sina.com.cn/jjxw/2026-06-23/doc-iniekeex6528239.shtml
环球家居周报：第三批消费品以旧换新资金将下达，南康家具10批次产品抽检不合格，欧派比亚迪跨界合作……,2026-06-23 21:33,https://finance.sina.com.cn/roll/2026-06-23/doc-inieixwx9823209.shtml
文少卿：当“粟特人”开上比亚迪，撒马尔罕正重新焕发光辉,2026-06-23 21:33,https://finance.sina.com.cn/roll/2026-06-23/doc-inieixwz6587733.shtml
固态电池迎来产业化质变拐点！,2026-06-23 21:33,https://finance.sina.com.cn/stock/relnews/cn/2026-06-23/doc-inieixwx9798440.shtml
比亚迪大唐手握15万辆订单，尚需等待产能爬坡,2026-06-23 21:33,https://finance.sina.com.cn/roll/2026-06-23/doc-inieitrc6659222.shtml
6月以来153股获机构首次关注 电子行业最受青睐,2026-06-23 21:33,https://finance.sina.com.cn/jjxw/2026-06-23/doc-inieipih2193416.shtml
华为跟进比亚迪推出智驾兜底，ADS Max 功能包7月1日起涨价,2026-06-23 21:33,https://finance.sina.com.cn/stock/t/2026-06-22/doc-inieiatn2398999.shtml
跟进比亚迪，华为宣布兜底,2026-06-23 21:33,https://cj.sina.cn/articles/view/1733360754/6750fc7202001fupo
坐在比亚迪里飞驰，挪威驻华大使聊起了深圳,2026-06-23 21:33,https://finance.sina.com.cn/jjxw/2026-06-22/doc-iniehwmr9249667.shtml
从“规模红利”到“数智红利”，“产业大脑+未来工厂”重构汽车产业价值,2026-06-23 21:33,https://finance.sina.com.cn/roll/2026-06-22/doc-iniehscq0227297.shtml
财中ETF风向标｜比亚迪大唐EV正式上市催化汽车板块，汽车ETF广发(159512)今日收平,2026-06-23 21:33,https://finance.sina.com.cn/stock/zqgd/2026-06-22/doc-iniehscq0219182.shtml
2026年5月OTA监测月报,2026-06-23 21:33,https://finance.sina.com.cn/stock/relnews/hk/2026-06-22/doc-iniehmvt7088329.shtml
比亚迪汽车工业公司退出名下销售公司 上海卓景汽车公司增资至2070万,2026-06-23 21:33,https://finance.sina.com.cn/7x24/2026-06-22/doc-iniehmvv9323001.shtml
比亚迪汽车工业公司退出名下销售公司,2026-06-23 21:33,https://cj.sina.cn/articles/view/7317133861/1b4229a2502001gj8s
招商证券国际：比亚迪股份维持“增持”评级 目标价130港元,2026-06-23 21:33,https://finance.sina.com.cn/stock/hkstock/hkgg/2026-06-22/doc-iniehfpv7075912.shtml
比亚迪西安研发基地工业旅游项目正式对外开放,2026-06-23 21:33,https://cj.sina.cn/articles/view/1644983660/620c756c02001sqou
比亚迪基地开放预约   西安持续深耕“工业+文旅+研学+文创”融合发展,2026-06-23 21:33,https://finance.sina.com.cn/jjxw/2026-06-22/doc-iniefzfx7154126.shtml
大行评级丨招商证券国际：中国汽车品牌出口表现强劲，首选吉利汽车,2026-06-23 21:33,https://finance.sina.com.cn/stock/bxjj/2026-06-22/doc-iniefuxz7215293.shtml
固态电池量产倒计时：丰田、宁德、比亚迪的三条路,2026-06-23 21:33,https://t.cj.sina.cn/articles/view/6372858738/17bda1b7200101r6z8
燃油车，彻底没活路了？,2026-06-22 09:40,https://finance.sina.com.cn/jjxw/2026-06-22/doc-iniefuxy0427198.shtml
比亚迪(002594)系列点评四十五：全尺寸SUV大唐EV发布 闪充旗舰再亮新剑,2026-06-22 09:40,http://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/835391639875/index.phtml
比亚迪官宣！西安研发基地工业旅游正式对外开放,2026-06-22 09:40,https://t.cj.sina.cn/articles/view/1826017320/6cd6d02802001lq00
汽车及汽车零部件行业周报：比亚迪大唐EV正式上市 MOMENTA获赴港上市备案通知书,2026-06-22 09:40,http://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/835373854767/index.phtml
瑞银：比亚迪股份目标价上调至135港元 维持“买入”评级,2026-06-22 09:40,https://finance.sina.com.cn/stock/hkstock/hkgg/2026-06-21/doc-inieeaqs9735833.shtml
一周新车盘点 | 享界首款SUV瞄准50万元级 比亚迪大唐EV正式上市,2026-06-22 09:40,https://cj.sina.cn/articles/view/5182171545/134e1a99902002fzzk
首次大规模启用电动车！巴基斯坦警方下单近100台比亚迪,2026-06-22 09:40,https://finance.sina.com.cn/stock/t/2026-06-21/doc-iniecryz7982586.shtml
中国新能源车在全球高歌猛进中，想起一则日本汽车出海旧闻和一个潮汕习俗,2026-06-22 09:40,https://finance.sina.com.cn/wm/2026-06-21/doc-iniecmta1313700.shtml
155款！2026新能源汽车下乡车型名单公布,2026-06-22 09:40,https://finance.sina.com.cn/wm/2026-06-21/doc-inieauvk1576484.shtml
紧追奥迪和凯迪！比亚迪进F1，还要再迈三道坎？,2026-06-22 09:40,https://finance.sina.com.cn/roll/2026-06-20/doc-iniecmsy9975065.shtml
比亚迪拟最快年底将热销SUV推向欧洲 加码海外布局,2026-06-22 09:40,https://finance.sina.com.cn/roll/2026-06-20/doc-iniczxru1971476.shtml
燃油车，彻底没活路了？,2026-06-22 09:40,https://finance.sina.com.cn/jjxw/2026-06-20/doc-inicznzv3986392.shtml
比亚迪向巴基斯坦警方交付电动汽车,2026-06-22 09:40,https://cj.sina.cn/articles/view/6456450127/180d59c4f0200227yg
002594、002078、002832，机构积极关注,2026-06-22 09:40,https://finance.sina.com.cn/stock/zqgd/2026-06-20/doc-iniczamz4173792.shtml
比亚迪公布国际专利申请：“作动器、悬架系统和车辆”,2026-06-22 09:40,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002buu8
比亚迪拟拆分汽车工程院强化多品牌研发,2026-06-22 09:40,https://k.sina.cn/article_7096020433_1a6f4add106801ivl2.html
比亚迪拟拆分汽车工程院，五大品牌将独立研发,2026-06-22 09:40,https://k.sina.cn/article_7096020433_1a6f4add106801ivgw.html
传比亚迪计划让旗下各子品牌自负盈亏，官方暂无回应,2026-06-22 09:40,https://finance.sina.com.cn/tech/2026-06-19/doc-inicxkay2958005.shtml
1604马力、工信部认证、古德伍德首发：腾势Z到底在下一盘什么棋？,2026-06-22 09:40,https://cj.sina.cn/articles/view/5646759686/15092b70601901ryxg
1604马力、工信部认证、古德伍德首发：腾势Z在下一盘什么棋？,2026-06-22 09:40,https://cj.sina.cn/articles/view/5646759686/15092b70600101ryw0
比亚迪将在韩国推出插电混动车型进一步拓展市场,2026-06-22 09:40,https://t.cj.sina.cn/articles/view/1826017320/6cd6d02802001loz8
消息称比亚迪计划推动子品牌自负盈亏，仰望暂不在其中,2026-06-22 09:40,https://t.cj.sina.cn/articles/view/1826017320/6cd6d02802001loyq
夯爆了！比亚迪大唐最终定价官宣,2026-06-22 09:40,https://finance.sina.com.cn/roll/2026-06-19/doc-inicwxpf9832895.shtml
端午买车，来南京车展“抄底”,2026-06-22 09:40,https://finance.sina.com.cn/jjxw/2026-06-19/doc-inicwtff1818071.shtml
晚点独家丨比亚迪计划推动子品牌自负盈亏,2026-06-22 09:40,https://t.cj.sina.cn/articles/view/7294209083/1b2c4cc3b00101sme2
汽车智能、低空经济、具身智能成出海“新三样”,2026-06-22 09:40,https://t.cj.sina.cn/articles/view/1891330474/70bb69aa027020c5y
比亚迪：公司持续深耕消费者核心需求，适时推出兼具市场竞争力与用户价值的产品及技术方案,2026-06-22 09:40,https://cj.sina.cn/articles/view/2311077472/89c03e6002002kz5c
