date,pe_value,pb_value
2011-07-01,60.69,3.52
2011-07-09,71.68,4.16
2011-07-17,64.62,3.75
2011-07-25,59.96,3.48
2011-08-02,66.42,3.85
2011-08-10,57.33,3.33
2011-08-18,58.09,3.37
2011-08-26,162.59,3.06
2011-09-03,150.06,2.82
2011-09-11,140.52,2.64
2011-09-19,122.51,2.3
2011-09-27,130.61,2.46
2011-10-05,120.32,2.26
2011-10-13,123.75,2.33
2011-10-21,121.01,2.28
2011-10-29,115.36,2.54
2011-11-06,132.88,2.93
2011-11-14,136.01,3.0
2011-11-22,134.79,2.97
2011-11-30,123.91,2.73
2011-12-08,121.57,2.68
2011-12-16,113.83,2.51
2011-12-24,116.43,2.57
2012-01-01,120.99,2.67
2012-01-09,121.04,2.67
2012-01-17,134.26,2.96
2012-01-25,129.05,2.85
2012-02-02,127.83,2.82
2012-02-10,137.76,3.04
2012-02-18,138.45,3.05
2012-02-26,140.73,3.1
2012-03-05,44.28,3.09
2012-03-13,45.51,3.17
2012-03-21,44.16,3.08
2012-03-29,46.24,3.03
2012-04-06,48.23,3.16
2012-04-14,52.45,3.44
2012-04-22,47.25,3.1
2012-04-30,52.97,2.87
2012-05-08,54.84,2.97
2012-05-16,49.66,2.69
2012-05-24,49.66,2.69
2012-06-01,49.92,2.7
2012-06-09,46.9,2.54
2012-06-17,47.56,2.57
2012-06-25,44.82,2.43
2012-07-03,40.75,2.21
2012-07-11,39.09,2.12
2012-07-19,35.76,1.94
2012-07-27,31.11,1.68
2012-08-04,29.63,1.6
2012-08-12,31.73,1.72
2012-08-20,30.45,1.65
2012-08-28,31.65,1.69
2012-09-05,32.38,1.73
2012-09-13,34.15,1.82
2012-09-21,31.31,1.67
2012-09-29,29.95,1.6
2012-10-07,29.95,1.6
2012-10-15,31.75,1.69
2012-10-23,31.75,1.69
2012-10-31,32.22,1.6
2012-11-08,34.64,1.72
2012-11-16,36.29,1.81
2012-11-24,36.85,1.83
2012-12-02,34.5,1.72
2012-12-10,37.45,1.86
2012-12-18,39.29,1.96
2012-12-26,42.37,2.11
2013-01-03,45.5,2.26
2013-01-11,48.23,2.4
2013-01-19,53.58,2.67
2013-01-27,50.22,2.5
2013-02-04,52.64,2.62
2013-02-12,56.86,2.83
2013-02-20,59.26,2.95
